id;target_function;start_date;end_date;scope;city;region;country
1;encryption;2021-03-21T12:26:53;2021-03-21T00:35:10;LOCAL;Langchester;Internal back-end Tasty Steel Bacon;Yemen
2;silver;2021-03-21T10:42:22;2021-03-20T19:58:22;LOCAL;Aileenside;Planner;Kazakhstan
3;clear-thinking directional invoice;2021-03-21T02:20:56;2021-03-21T02:41:42;NATIONAL;VonRuedenside;Sleek Frozen;Solomon Islands
4;solution-oriented Auto Loan Account Forward;2021-03-21T07:17:18;2021-03-21T08:40:59;LOCAL;Wintheisermouth;Uzbekistan Sum Malaysian Ringgit;Sri Lanka
5;Agent info-mediaries;2021-03-21T02:19:10;2021-03-21T14:12:45;LOCAL;New Sethfurt;methodical;New Zealand
6;Gorgeous Steel Cheese back up Home Loan Account;2021-03-21T07:53:41;2021-03-20T17:29:18;LOCAL;Stiedemannside;bluetooth Unbranded Fresh Pizza Administrator;Mauritius
7;Virginia maximized Light;2021-03-20T20:21:51;2021-03-20T17:18:03;LOCAL;Kodyton;transmit;Cote d'Ivoire
8;Checking Account Representative Plastic;2021-03-20T21:08:38;2021-03-20T20:54:32;REGIONAL;Shawnville;Functionality;Grenada
9;Product;2021-03-20T23:46:49;2021-03-20T16:27:06;LOCAL;Wizaborough;e-tailers;Portugal
10;integrated;2021-03-21T09:48:42;2021-03-20T17:15:35;LOCAL;Nathanialport;e-tailers deposit Intelligent;Lithuania
